Scholar Name,Title,Publication Link,Authors,Journal/Conference,DOI,Citation Count,Scholar Profile,Page
Andrew Gelman,Statistics as a Social Activity: Attitudes toward Amalgamating Evidence,http://dx.doi.org/10.3390/e26080652,"Gelman, Andrew | O’Rourke, Keith","Entropy, volume 26, issue 8, pages 652- (2024).",http://dx.doi.org/10.3390/e26080652,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Bayesian workflow for time-varying transmission in stratified compartmental infectious disease transmission models,http://dx.doi.org/10.1371/journal.pcbi.1011575,"Bouman, Judith A. | Hauser, Anthony | Grimm, Simon L. | Wohlfender, Martin | Bhatt, Samir | Semenova, Elizaveta | Gelman, Andrew | Althaus, Christian L. | Riou, Julien","PLOS Computational Biology, volume 20, issue 4, pages e1011575- (2024).",http://dx.doi.org/10.1371/journal.pcbi.1011575,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Week by week: the second semester,http://dx.doi.org/10.1017/9781009436243.005,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.005,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Outlines of classroom activities,http://dx.doi.org/10.1017/9781009436243.008,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.008,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Final exam questions,http://dx.doi.org/10.1017/9781009436243.007,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.007,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Pre-test questions,http://dx.doi.org/10.1017/9781009436243.006,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.006,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Week by week: the first semester,http://dx.doi.org/10.1017/9781009436243.004,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.004,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Setting up a course of study,http://dx.doi.org/10.1017/9781009436243.003,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.003,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Active learning,http://dx.doi.org/10.1017/9781009436243.002,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.002,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,How to use this book,http://dx.doi.org/10.1017/9781009436243.001,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243.001,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Active Statistics,http://dx.doi.org/10.1017/9781009436243,"Gelman, Andrew | Vehtari, Aki",Cambridge University Press (2024),http://dx.doi.org/10.1017/9781009436243,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Using leave‐one‐out cross validation (LOO) in a multilevel regression and poststratification (MRP) workflow: A cautionary tale,http://dx.doi.org/10.1002/sim.9964,"Kuh, Swen | Kennedy, Lauren | Chen, Qixuan | Gelman, Andrew","Statistics in Medicine, volume 43, issue 5, pages 953-982 (2024).",http://dx.doi.org/10.1002/sim.9964,2,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,"Past, Present and Future of Software for Bayesian Inference",http://dx.doi.org/10.1214/23-STS907,"Štrumbelj, Erik | Bouchard-Côté, Alexandre | Corander, Jukka | Gelman, Andrew | Rue, Håvard | Murray, Lawrence | Pesonen, Henri | Plummer, Martyn | Vehtari, Aki","Statistical Science, volume 39, issue 1 (2024).",http://dx.doi.org/10.1214/23-STS907,2,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Hopes and Limitations of Reproducible Statistics and Machine Learning,http://dx.doi.org/10.1162/99608f92.040d5523,"Gelman, Andrew","Harvard Data Science Review, volume 6, issue 1 (2024).",http://dx.doi.org/10.1162/99608f92.040d5523,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Commentaries on “Beyond statistical significance: Five principles for the new era of data analysis and reporting”,http://dx.doi.org/10.1002/jcpy.1378,"Schwarz, Norbert | Strack, Fritz | Gelman, Andrew | van Osselaer, Stijn M. J. | Huber, Joel","Journal of Consumer Psychology, volume 34, issue 1, pages 187-195 (2024).",http://dx.doi.org/10.1002/jcpy.1378,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,A New Look at P Values for Randomized Clinical Trials,http://dx.doi.org/10.1056/EVIDoa2300003,"van Zwet, Erik | Gelman, Andrew | Greenland, Sander | Imbens, Guido | Schwab, Simon | Goodman, Steven N.","NEJM Evidence, volume 3, issue 1 (2024).",http://dx.doi.org/10.1056/EVIDoa2300003,4,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Abandon statistical significance.,http://dx.doi.org/10.1037/0000409-020,"McShane, Blakeley B. | Gal, David | Gelman, Andrew | Robert, Christian | Tackett, Jennifer L.",American Psychological Association (2024),http://dx.doi.org/10.1037/0000409-020,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Nested Rˆ: Assessing the Convergence of Markov Chain Monte Carlo When Running Many Short Chains,http://dx.doi.org/10.1214/24-BA1453,"Margossian, Charles C. | Hoffman, Matthew D. | Sountsov, Pavel | Riou-Durand, Lionel | Vehtari, Aki | Gelman, Andrew","Bayesian Analysis, volume -1, issue -1 (2024).",http://dx.doi.org/10.1214/24-BA1453,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,In Pursuit of Campus-Wide Data Literacy: A Guide to Developing a Statistics Course for Students in Nonquantitative Fields,http://dx.doi.org/10.1080/26939169.2023.2276844,"Lerner, Alexis | Gelman, Andrew",Journal of Statistics and Data Science Education (2023).,http://dx.doi.org/10.1080/26939169.2023.2276844,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Generically partisan: Polarization in political communication,http://dx.doi.org/10.1073/pnas.2309361120,"Novoa, Gustavo | Echelbarger, Margaret | Gelman, Andrew | Gelman, Susan A.","Proceedings of the National Academy of Sciences, volume 120, issue 47 (2023).",http://dx.doi.org/10.1073/pnas.2309361120,2,https://scholargps.com/scholars/54874277864582/andrew-gelman,1
Andrew Gelman,Causal Quartets: Different Ways to Attain the Same Average Treatment Effect,http://dx.doi.org/10.1080/00031305.2023.2267597,"Gelman, Andrew | Hullman, Jessica | Kennedy, Lauren",The American Statistician (2023).,http://dx.doi.org/10.1080/00031305.2023.2267597,2,https://scholargps.com/scholars/54874277864582/andrew-gelman,2
Andrew Gelman,Bayesian spatial modelling of localised SARS-CoV-2 transmission through mobility networks across England,http://dx.doi.org/10.1371/journal.pcbi.1011580,"Ward, Thomas | Morris, Mitzi | Gelman, Andrew | Carpenter, Bob | Ferguson, William | Overton, Christopher | Fyles, Martyn","PLOS Computational Biology, volume 19, issue 11, pages e1011580- (2023).",http://dx.doi.org/10.1371/journal.pcbi.1011580,1,https://scholargps.com/scholars/54874277864582/andrew-gelman,2
Andrew Gelman,What is a standard error?,http://dx.doi.org/10.1016/j.jeconom.2023.105516,"Gelman, Andrew","Journal of Econometrics, volume 237, issue 1, pages 105516- (2023).",http://dx.doi.org/10.1016/j.jeconom.2023.105516,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,2
Andrew Gelman,Fast Methods for Posterior Inference of Two-Group Normal-Normal Models,http://dx.doi.org/10.1214/22-BA1329,"Greengard, Philip | Hoskins, Jeremy | Margossian, Charles C. | Gabry, Jonah | Gelman, Andrew | Vehtari, Aki","Bayesian Analysis, volume 18, issue 3 (2023).",http://dx.doi.org/10.1214/22-BA1329,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,2
Andrew Gelman,Who Wants School Vouchers in America? A Comprehensive Study Using Multilevel Regression and Poststratification,http://dx.doi.org/10.3390/socsci12080430,"Su, Yu-Sung | Gelman, Andrew","Social Sciences, volume 12, issue 8, pages 430- (2023).",http://dx.doi.org/10.3390/socsci12080430,0,https://scholargps.com/scholars/54874277864582/andrew-gelman,2
