Scholar Name,Title,Publication Link,Authors,Journal/Conference,DOI,Citation Count,Scholar Profile,Page
Deyu Meng,Unsupervised hyperspectral pansharpening via low-rank diffusion model,http://dx.doi.org/10.1016/j.inffus.2024.102325,"Rui, Xiangyu | Cao, Xiangyong | Pang, Li | Zhu, Zeyu | Yue, Zongsheng | Meng, Deyu","Information Fusion, volume 107 (2024).",http://dx.doi.org/10.1016/j.inffus.2024.102325,3,https://scholargps.com/scholars/19802777203731/deyu-meng,1
Deyu Meng,An Adaptive Noisy Label-Correction Method Based on Selective Loss for Hyperspectral Image-Classification Problem,http://dx.doi.org/10.3390/rs16132499,"Li, Zina | Yang, Xiaorui | Meng, Deyu | Cao, Xiangyong","Remote Sensing, volume 16, issue 13, pages 2499- (2024).",http://dx.doi.org/10.3390/rs16132499,0,https://scholargps.com/scholars/19802777203731/deyu-meng,1
Deyu Meng,Stable Local-Smooth Principal Component Pursuit,http://dx.doi.org/10.1137/23M1580164,"Peng, Jiangjun | Wang, Hailin | Cao, Xiangyong | Jia, Xixi | Zhang, Hongying | Meng, Deyu","SIAM Journal on Imaging Sciences, volume 17, issue 2, pages 1182-1205 (2024).",http://dx.doi.org/10.1137/23M1580164,0,https://scholargps.com/scholars/19802777203731/deyu-meng,1
Deyu Meng,RCDNet: An Interpretable Rain Convolutional Dictionary Network for Single Image Deraining,http://dx.doi.org/10.1109/TNNLS.2022.3231453,"Wang, Hong | Xie, Qi | Zhao, Qian | Li, Yuexiang | Liang, Yong | Zheng, Yefeng | Meng, Deyu","IEEE Transactions on Neural Networks and Learning Systems, volume 35, issue 6, pages 8668-8682 (2024).",http://dx.doi.org/10.1109/TNNLS.2022.3231453,2,https://scholargps.com/scholars/19802777203731/deyu-meng,1
Deyu Meng,Low-Rank Tensor Function Representation for Multi-Dimensional Data Recovery,http://dx.doi.org/10.1109/TPAMI.2023.3341688,"Luo, Yisi | Zhao, Xile | Li, Zhemin | Ng, Michael K. | Meng, Deyu","IEEE Transactions on Pattern Analysis and Machine Intelligence, volume 46, issue 5, pages 3351-3369 (2024).",http://dx.doi.org/10.1109/TPAMI.2023.3341688,3,https://scholargps.com/scholars/19802777203731/deyu-meng,1
Deyu Meng,Weight Decay With Tailored Adam on Scale-Invariant Weights for Better Generalization,http://dx.doi.org/10.1109/TNNLS.2022.3213536,"Jia, Xixi | Feng, Xiangchu | Yong, Hongwei | Meng, Deyu","IEEE Transactions on Neural Networks and Learning Systems, volume 35, issue 5, pages 6936-6947 (2024).",http://dx.doi.org/10.1109/TNNLS.2022.3213536,3,https://scholargps.com/scholars/19802777203731/deyu-meng,1
Deyu Meng,Quantum-inspired analysis of neural network vulnerabilities: the role of conjugate variables in system attacks,http://dx.doi.org/10.1093/nsr/nwae141,"Zhang, Jun-Jie | Meng, Deyu",National Science Review (2024).,http://dx.doi.org/10.1093/nsr/nwae141,0,https://scholargps.com/scholars/19802777203731/deyu-meng,1
Deyu Meng,De novo and somatic structural variant discovery with SVision-pro,http://dx.doi.org/10.1038/s41587-024-02190-7,"Wang, Songbo | Lin, Jiadong | Jia, Peng | Xu, Tun | Li, Xiujuan | Liu, Yuezhuangnan | Xu, Dan | Bush, Stephen J. | Meng, Deyu | Ye, Kai",Nature Biotechnology (2024).,http://dx.doi.org/10.1038/s41587-024-02190-7,0,https://scholargps.com/scholars/19802777203731/deyu-meng,1
Deyu Meng,Adaptive weighting function for weighted nuclear norm based matrix/tensor completion,http://dx.doi.org/10.1007/s13042-023-01935-1,"Zhao, Qian | Lin, Yuji | Wang, Fengxingyu | Meng, Deyu","International Journal of Machine Learning and Cybernetics, volume 15, issue 2, pages 697-718 (2024).",http://dx.doi.org/10.1007/s13042-023-01935-1,2,https://scholargps.com/scholars/19802777203731/deyu-meng,1
Deyu Meng,Geolocalization from Aerial Sensing Images Using Road Network Alignment,http://dx.doi.org/10.3390/rs16030482,"Li, Yongfei | Yang, Dongfang | Wang, Shicheng | Shi, Lin | Meng, Deyu","Remote Sensing, volume 16, issue 3, pages 482- (2024).",http://dx.doi.org/10.3390/rs16030482,0,https://scholargps.com/scholars/19802777203731/deyu-meng,1
