Scholar Name,Title,Publication Link,Authors,Journal/Conference,DOI,Citation Count,Scholar Profile,Page
Guiwu Wei,Retraction Note: Some new dual hesitant fuzzy linguistic operators based on Archimedean t-norm and t-conorm,http://dx.doi.org/10.1007/s00521-024-10106-4,"Zhang, Nian | Yao, Zhigang | Zhou, Yufeng | Wei, Guiwu",Neural Computing and Applications (2024).,http://dx.doi.org/10.1007/s00521-024-10106-4,0,https://scholargps.com/scholars/78021622765809/guiwu-wei,1
Guiwu Wei,Some Novel Correlation Coefficients of Probabilistic Dual Hesitant Fuzzy Sets and their Application to Multi-Attribute Decision-Making,http://dx.doi.org/10.1007/s40815-024-01762-8,"Ning, Baoquan | Wei, Cun | Wei, Guiwu",International Journal of Fuzzy Systems (2024).,http://dx.doi.org/10.1007/s40815-024-01762-8,0,https://scholargps.com/scholars/78021622765809/guiwu-wei,1
Guiwu Wei,Site Selection of Wind Farms Based on Novel Probabilistic Dual Hesitant Fuzzy ExpTODIM and LogTODIM Methods,http://dx.doi.org/10.1007/s40815-024-01756-6,"Ning, Baoquan | Wei, Cun | Wei, Guiwu",International Journal of Fuzzy Systems (2024).,http://dx.doi.org/10.1007/s40815-024-01756-6,0,https://scholargps.com/scholars/78021622765809/guiwu-wei,1
Guiwu Wei,PDHL-MARCOS method based on cumulative prospect theory for MAGDM and its application in network security evaluation,http://dx.doi.org/10.3233/KES-230120,"Lei, Fan | Cai, Qiang | Wei, Guiwu | Wei, Cun","International Journal of Knowledge-based and Intelligent Engineering Systems, volume 28, issue 2, pages 359-387 (2024).",http://dx.doi.org/10.3233/KES-230120,0,https://scholargps.com/scholars/78021622765809/guiwu-wei,1
Guiwu Wei,Novel Aczel-Alsina operations-based probabilistic double hierarchy linguistic aggregation operators and their applications in Blockchain performance evaluation Blockchain,http://dx.doi.org/10.3233/JIFS-235215,"Lei, Fan | Cai, Qiang | Wei, Guiwu","Journal of Intelligent & Fuzzy Systems, volume 46, issue 4, pages 7989-8024 (2024).",http://dx.doi.org/10.3233/JIFS-235215,1,https://scholargps.com/scholars/78021622765809/guiwu-wei,1
Guiwu Wei,An integrated group decision-making framework for evaluating the urban fire emergency management capability based on PDHLWPHM and PDHLWPGHM operator,http://dx.doi.org/10.3233/JIFS-230485,"Lei, Fan | Cai, Qiang | Wang, Hongjun | Wei, Guiwu | Mo, Zhiwen","Journal of Intelligent & Fuzzy Systems, volume 46, issue 2, pages 3713-3760 (2024).",http://dx.doi.org/10.3233/JIFS-230485,0,https://scholargps.com/scholars/78021622765809/guiwu-wei,1
Guiwu Wei,MABAC framework for logarithmic bipolar fuzzy multiple attribute group decision-making for supplier selection,http://dx.doi.org/10.1007/s40747-023-01108-1,"Jana, Chiranjibe | Garg, Harish | Pal, Madhumangal | Sarkar, Biswajit | Wei, Guiwu","Complex & Intelligent Systems, volume 10, issue 1, pages 273-288 (2024).",http://dx.doi.org/10.1007/s40747-023-01108-1,10,https://scholargps.com/scholars/78021622765809/guiwu-wei,1
Guiwu Wei,Grey relational analysis method for multi-attribute group decision making based on cumulative prospect theory under single-value neutrosophic sets,http://dx.doi.org/10.3233/JIFS-231630,"Li, Yue | Cai, Qiang | Wei, Guiwu","Journal of Intelligent & Fuzzy Systems, volume 46, issue 1, pages 805-819 (2024).",http://dx.doi.org/10.3233/JIFS-231630,0,https://scholargps.com/scholars/78021622765809/guiwu-wei,1
Guiwu Wei,An Extended EDAS Approach Based on Cumulative Prospect Theory for Multiple Attributes Group Decision Making with Interval-Valued Intuitionistic Fuzzy Information,http://dx.doi.org/10.15388/24-INFOR547,"Wang, Jing | Cai, Qiang | Wei, Guiwu | Liao, Ningna",Informatica (2024).,http://dx.doi.org/10.15388/24-INFOR547,1,https://scholargps.com/scholars/78021622765809/guiwu-wei,1
Guiwu Wei,CODAS method for Pythagorean 2-tuple linguistic multiple attribute group decision making,http://dx.doi.org/10.1109/ACCESS.2019.2917588,"He, Tingting | Wei, Guiwu | Wei, Cun | Wang, Jie",IEEE Access (2024).,http://dx.doi.org/10.1109/ACCESS.2019.2917588,19,https://scholargps.com/scholars/78021622765809/guiwu-wei,1
