Scholar Name,Title,Publication Link,Authors,Journal/Conference,DOI,Citation Count,Scholar Profile,Page
Kyungdo Han,Nonarteritic Anterior Ischemic Optic Neuropathy and the Risk of Dementia,http://dx.doi.org/10.1212/WNL.0000000000209657,"Kim, Jaeryung | Han, Kyungdo | Jung, Jin-Hyung | Park, Kyung-Ah | Oh, Sei Yeul","Neurology, volume 103, issue 3 (2024).",http://dx.doi.org/10.1212/WNL.0000000000209657,0,https://scholargps.com/scholars/74105335250496/kyungdo-han,1
Kyungdo Han,Epidemiology and Trends of Obesity and Bariatric Surgery in Korea,http://dx.doi.org/10.3803/EnM.2024.2056,"Han, Kyungdo | Jung, Jin-Hyung | Jeong, Su-Min | Kim, Mee Kyoung",Endocrinology and Metabolism (2024).,http://dx.doi.org/10.3803/EnM.2024.2056,0,https://scholargps.com/scholars/74105335250496/kyungdo-han,1
Kyungdo Han,Atrial fibrillation fact sheet in Korea 2024: part 2—stroke prevention in Korean patients with atrial fibrillation,http://dx.doi.org/10.1186/s42444-024-00120-x,"Yang, Pil-sung | Kim, Ju Youn | Kim, Bong-Seong | Han, Kyung-Do | Park, Junbeom | Cho, Min Soo | Lee, Jung Myung | Park, Jong Sung | Lee, Ki Hong","International Journal of Arrhythmia, volume 25, issue 1 (2024).",http://dx.doi.org/10.1186/s42444-024-00120-x,0,https://scholargps.com/scholars/74105335250496/kyungdo-han,1
Kyungdo Han,Risk factors of acute pancreatitis in young adults: a Nationwide population-based cohort study in South Korea,http://dx.doi.org/10.1097/MPA.0000000000002394,"Park, Namyoung | Lee, Jae Min | Park, Jin Myung | Lee, Sang Hyub | Han, Kyung-Do | Joo, Kwang Ro | Ryu, Ji Kon | Kim, Yong-Tae",Pancreas (2024).,http://dx.doi.org/10.1097/MPA.0000000000002394,0,https://scholargps.com/scholars/74105335250496/kyungdo-han,1
Kyungdo Han,Fenofibrate and risk of end‐stage renal disease: A nationwide cohort study,http://dx.doi.org/10.1111/dom.15815,"Hyun, Young Youl | Kim, Kyung‐Soo | Hong, Sangmo | Han, Kyungdo | Park, Cheol‐Young","Diabetes, Obesity and Metabolism (2024).",http://dx.doi.org/10.1111/dom.15815,0,https://scholargps.com/scholars/74105335250496/kyungdo-han,1
Kyungdo Han,Association of Fibrate use with clinical expression of hypertrophic cardiomyopathy,http://dx.doi.org/10.1002/ehf2.15004,"Park, Chan Soon | Kim, Bongseong | Jung, Jin‐Hyung | Rhee, Tae‐Min | Lee, Hyun Jung | Lee, Hee‐Sun | Park, Jun‐Bean | Kim, Yong‐Jin | Han, Kyungdo | Kim, Hyung‐Kwan",ESC Heart Failure (2024).,http://dx.doi.org/10.1002/ehf2.15004,0,https://scholargps.com/scholars/74105335250496/kyungdo-han,1
Kyungdo Han,Fenofibrate’s impact on cardiovascular risk in patients with diabetes: a nationwide propensity-score matched cohort study,http://dx.doi.org/10.1186/s12933-024-02353-5,"Hong, Sangmo | Kim, Kyung-Soo | Han, Kyungdo | Park, Cheol-Young","Cardiovascular Diabetology, volume 23, issue 1 (2024).",http://dx.doi.org/10.1186/s12933-024-02353-5,0,https://scholargps.com/scholars/74105335250496/kyungdo-han,1
Kyungdo Han,Atrial fibrillation fact sheet in Korea 2024 (part 1): epidemiology of atrial fibrillation in Korea,http://dx.doi.org/10.1186/s42444-024-00119-4,"Lee, So-Ryoung | Kim, Daehoon | Lee, Sung Ho | Lim, Woo-Hyun | Chun, Kwang Jin | Choe, Won-Seok | Ahn, Hyo-Jeong | Lee, Kyung-Yeon | Choi, JungMin | Kim, Bong-Seong | ... | Choi, Eue-Keun","International Journal of Arrhythmia, volume 25, issue 1 (2024).",http://dx.doi.org/10.1186/s42444-024-00119-4,0,https://scholargps.com/scholars/74105335250496/kyungdo-han,1
Kyungdo Han,Epidemiologic relationship between alcohol flushing and smoking in the Korean population: the Korea National Health and Nutrition Examination Survey,http://dx.doi.org/10.1038/s41598-024-66521-z,"Yook, Hwa Jung | Lee, Gyu-Na | Lee, Ji Hyun | Han, Kyungdo | Park, Young Min","Scientific Reports, volume 14, issue 1 (2024).",http://dx.doi.org/10.1038/s41598-024-66521-z,0,https://scholargps.com/scholars/74105335250496/kyungdo-han,1
Kyungdo Han,Atrial fibrillation and risk of sudden cardiac arrest in young adults,http://dx.doi.org/10.1093/europace/euae196,"Kim, Yun Gi | Jeong, Joo Hee | Han, Kyung-Do | Roh, Seung-Young | Lee, Hyoung Seok | Choi, Yun Young | Shim, Jaemin | Kim, Young-Hoon | Choi, Jong-Il","Europace, volume 26, issue 7 (2024).",http://dx.doi.org/10.1093/europace/euae196,0,https://scholargps.com/scholars/74105335250496/kyungdo-han,1
Kyungdo Han,Holistic and Personalized Strategies for Managing in Elderly Type 2 Diabetes Patients,http://dx.doi.org/10.4093/dmj.2024.0310,"Yun, Jae-Seung | Kim, Kyuho | Ahn, Yu-Bae | Han, Kyungdo | Ko, Seung-Hyun","Diabetes & Metabolism Journal, volume 48, issue 4, pages 531-545 (2024).",http://dx.doi.org/10.4093/dmj.2024.0310,0,https://scholargps.com/scholars/74105335250496/kyungdo-han,1
Kyungdo Han,Cardiorenal outcomes and mortality after sodium‐glucose cotransporter‐2 inhibitor initiation in type 2 diabetes patients with percutaneous coronary intervention history,http://dx.doi.org/10.1111/dom.15565,"Kim, Jin Hwa | Lyu, Young Sang | Kim, BongSeong | Kim, Mee Kyung | Kim, Sang Yong | Baek, Ki‐Hyun | Song, Ki‐Ho | Han, Kyungdo | Kwon, Hyuk‐Sang","Diabetes, Obesity and Metabolism, volume 26, issue 7, pages 2567-2577 (2024).",http://dx.doi.org/10.1111/dom.15565,1,https://scholargps.com/scholars/74105335250496/kyungdo-han,1
Kyungdo Han,Increased Risk of Fracture after Traumatic Amputation: A Nationwide Retrospective Cohort Study,http://dx.doi.org/10.3390/healthcare12131362,"Cho, Hyeonjin | Park, Junhee | Kim, Bongseong | Han, Kyungdo | Choi, Hea Lim | Shin, Dong Wook","Healthcare, volume 12, issue 13, pages 1362- (2024).",http://dx.doi.org/10.3390/healthcare12131362,0,https://scholargps.com/scholars/74105335250496/kyungdo-han,1
