Scholar Name,Title,Publication Link,Authors,Journal/Conference,DOI,Citation Count,Scholar Profile,Page
Malin Song,The impact of carbon emission trading schemes on China’s economic inequalities between and within urban and rural areas based on the satellite data: a county-level analysis,http://dx.doi.org/10.1080/14693062.2024.2358986,"Gao, Ming | Song, Malin | Liu, Yu | Chen, Jiandong",Climate Policy (2024).,http://dx.doi.org/10.1080/14693062.2024.2358986,0,https://scholargps.com/scholars/54475957797840/malin-song,1
Malin Song,Auditing the Leader: The Impact of Targeting Local Officials’ Environmental Regulations on Innovation,http://dx.doi.org/10.1007/s13132-024-02028-2,"Zhou, Zhengqing | Ai, Hongshan | Liu, Jiacheng | Song, Malin | Yang, Huiyu",Journal of the Knowledge Economy (2024).,http://dx.doi.org/10.1007/s13132-024-02028-2,0,https://scholargps.com/scholars/54475957797840/malin-song,1
Malin Song,Robust optimization model of anti-epidemic supply chain under technological innovation: learning from COVID-19,http://dx.doi.org/10.1007/s10479-022-04855-5,"Song, Malin | Yuan, Sai | Bo, Hongguang | Song, Jinbo | Pan, Xiongfeng | Jin, Kairui","Annals of Operations Research, volume 335, issue 3, pages 1331-1361 (2024).",http://dx.doi.org/10.1007/s10479-022-04855-5,9,https://scholargps.com/scholars/54475957797840/malin-song,1
Malin Song,An evaluative study of economic security from the perspective of land resource assets,http://dx.doi.org/10.1016/j.landusepol.2024.107062,"Wang, Shuhong | Liu, Xintian | Chen, Xueli | Song, Malin","Land Use Policy, volume 139 (2024).",http://dx.doi.org/10.1016/j.landusepol.2024.107062,0,https://scholargps.com/scholars/54475957797840/malin-song,1
Malin Song,Energy and environmental efficiency of China's regional electric power industry by considering renewable energy constraints,http://dx.doi.org/10.1177/0958305X221139256,"Chen, Xifan | Zhu, Qingyuan | Xu, Chengzhen | Shen, Zhiyang | Song, Malin","Energy & Environment, volume 35, issue 2, pages 927-949 (2024).",http://dx.doi.org/10.1177/0958305X221139256,1,https://scholargps.com/scholars/54475957797840/malin-song,1
Malin Song,The economic growth–travel frequency nexus in China: Importance of the transport Kuznets curve,http://dx.doi.org/10.1111/twec.13452,"Jiao, Zhilun | Shafiullah, Muhammad | Khalid, Usman | Song, Malin | Shahbaz, Muhammad","The World Economy, volume 47, issue 3, pages 898-929 (2024).",http://dx.doi.org/10.1111/twec.13452,0,https://scholargps.com/scholars/54475957797840/malin-song,1
Malin Song,Assessing the influence of artificial intelligence on the energy efficiency for sustainable ecological products value,http://dx.doi.org/10.1016/j.eneco.2024.107392,"Song, Malin | Pan, Heting | Shen, Zhiyang | Tamayo-Verleene, Kristine","Energy Economics, volume 131 (2024).",http://dx.doi.org/10.1016/j.eneco.2024.107392,2,https://scholargps.com/scholars/54475957797840/malin-song,1
Malin Song,"Uncovering the Interactions Between the Enterprise AI Transformation, Supply Chain Concentration, and Corporate Risk-Taking Capacity",http://dx.doi.org/10.1109/TEM.2024.3411631,"Sun, Yuhuan | Wan, Lu | Mangla, Sachin K. | Xu, Xiaofeng | Song, Malin","IEEE Transactions on Engineering Management, volume 71 (2024).",http://dx.doi.org/10.1109/TEM.2024.3411631,0,https://scholargps.com/scholars/54475957797840/malin-song,1
Malin Song,Climate Policy Uncertainty and Entrepreneur Eco-Investment Behavior for Green Growth—Moderate Effect Analysis of Twin Transition,http://dx.doi.org/10.1109/TEM.2024.3383475,"Pan, Xianyou | Mangla, Sachin Kumar | Song, Malin | Vrontis, Demetris","IEEE Transactions on Engineering Management, volume 71 (2024).",http://dx.doi.org/10.1109/TEM.2024.3383475,2,https://scholargps.com/scholars/54475957797840/malin-song,1
Malin Song,"Circular Economy, Open Innovation, and Green Innovation: Empirical Evidence From Prefecture-Level Cities in China",http://dx.doi.org/10.1109/TEM.2024.3357350,"Ai, Hongshan | Islam, Nazrul | Kumar Mangla, Sachin | Song, Malin | Tan, Xiaoqing","IEEE Transactions on Engineering Management, volume 71 (2024).",http://dx.doi.org/10.1109/TEM.2024.3357350,1,https://scholargps.com/scholars/54475957797840/malin-song,1
