Scholar Name,Title,Publication Link,Authors,Journal/Conference,DOI,Citation Count,Scholar Profile,Page
Muhammad Aslam,Design of Hotelling T2 control chart using various covariance structures,http://dx.doi.org/10.1080/03610926.2023.2234520,"Nida, Hafiza | Kashif, Muhammad | Khan, Muhammad Imran | Ahmad, Liaquat | Aslam, Muhammad","Communications in Statistics - Theory and Methods, volume 53, issue 16, pages 5828-5839 (2024).",http://dx.doi.org/10.1080/03610926.2023.2234520,1,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,Disparities with global standards about growth references of mid‐upper arm circumference‐for‐age for Pakistani children aged 6–60 months,http://dx.doi.org/10.1111/apa.17238,"Akbar, Natasha | Aslam, Muhammad | Petersen, Jørgen Holm | Altaf, Saima | Ahmed, Khawaja Masuood","Acta Paediatrica, volume 113, issue 7, pages 1592-1599 (2024).",http://dx.doi.org/10.1111/apa.17238,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,Balanced Lattice Designs under Uncertain Environment,http://dx.doi.org/10.1007/s44199-024-00082-y,"AlAita, Abdulrahman | Aslam, Muhammad",Journal of Statistical Theory and Applications (2024).,http://dx.doi.org/10.1007/s44199-024-00082-y,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,"Analysis of heavy metal concentrations in breast milk by neutrosophic method in the locate of Lahore, Pakistan",http://dx.doi.org/10.1038/s44294-024-00024-0,"Fatima, Adeena | Afzal, Usama | Aslam, Muhammad | Rafi, Zainab | Ahmad, Naveed | Baig, Mirza Albash","npj Women's Health, volume 2, issue 1 (2024).",http://dx.doi.org/10.1038/s44294-024-00024-0,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,Utilizing Repetitive Sampling in the Construction of a Control Chart for Lindley Distribution with Time Truncation,http://dx.doi.org/10.1007/s44199-024-00080-0,"Sriramachandran, G. V. | Gadde, Srinivasa Rao | Aslam, Muhammad",Journal of Statistical Theory and Applications (2024).,http://dx.doi.org/10.1007/s44199-024-00080-0,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,Modeling COVID-19 data with a novel neutrosophic Burr-III distribution,http://dx.doi.org/10.1038/s41598-024-61659-2,"Jamal, Farrukh | Shafiq, Shakaiba | Aslam, Muhammad | Khan, Sadaf | Hussain, Zawar | Abbas, Qamer","Scientific Reports, volume 14, issue 1 (2024).",http://dx.doi.org/10.1038/s41598-024-61659-2,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,Neutrosophic Topp-Leone Distribution for Interval-Valued Data Analysis,http://dx.doi.org/10.1007/s44199-024-00077-9,"Ahsan-ul-Haq, Muhammad | Zafar, Javeria | Aslam, Muhammad | Tariq, Saadia",Journal of Statistical Theory and Applications (2024).,http://dx.doi.org/10.1007/s44199-024-00077-9,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,Multi-attribute decision-making problem in career determination using single-valued neutrosophic distance measure,http://dx.doi.org/10.1007/s40747-024-01433-z,"Dasan, M. Arockia | Bementa, E. | Aslam, Muhammad | Flower, V. F. Little",Complex & Intelligent Systems (2024).,http://dx.doi.org/10.1007/s40747-024-01433-z,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,"Assessment of heavy metals level in chicken with indeterminate analysis in localities of Lahore, Pakistan",http://dx.doi.org/10.1007/s10661-024-12627-w,"Ahmad, Naveed | Afzal, Usama | Zafar, Ramna | Arslan, Muhammad | Riaz, Saira | Naseem, Shahzad | Naeem, Muhammad | Fatima, Adeena | Ali, Mubashar | Aslam, Muhammad","Environmental Monitoring and Assessment, volume 196, issue 5 (2024).",http://dx.doi.org/10.1007/s10661-024-12627-w,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,Assessing Disparities about Overweight and Obesity in Pakistani Youth Using Local and International Standards for Body Mass Index,http://dx.doi.org/10.3390/jcm13102944,"Asif, Muhammad | Qureshi, Hafiz Ahmad Iqrash | Seyal, Saba Mazhar | Aslam, Muhammad | Sultan, Muhammad Tauseef | Elwahab, Maysaa Elmahi Abd | Matłosz, Piotr | Wyszyńska, Justyna","Journal of Clinical Medicine, volume 13, issue 10, pages 2944- (2024).",http://dx.doi.org/10.3390/jcm13102944,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,Economical Group Chain Sampling Plans for Weibull Distribution Using Bayesian Approach,http://dx.doi.org/10.1007/s44199-024-00075-x,"Tanveer, Kinza | Mughal, Abdur Razzaque | Shahzadi, Ishmal | Albassam, Mohammed | Aslam, Muhammad",Journal of Statistical Theory and Applications (2024).,http://dx.doi.org/10.1007/s44199-024-00075-x,1,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,Emergence of the neutrosophic ratio-type estimators for estimating the population mean evidence: From energy dissipated Okara district Pakistan,http://dx.doi.org/10.3233/JIFS-240153,"Faraz, Ansar Ali | Khan, Hina | Aslam, Muhammad | Albassam, Mohammed",Journal of Intelligent & Fuzzy Systems (2024).,http://dx.doi.org/10.3233/JIFS-240153,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,Generalized multiple dependent state sampling plan for quality inspection in ocean dataset,http://dx.doi.org/10.1080/03610926.2022.2150052,"Bhattacharya, Ritwik | Aslam, Muhammad","Communications in Statistics - Theory and Methods, volume 53, issue 8, pages 2857-2867 (2024).",http://dx.doi.org/10.1080/03610926.2022.2150052,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,Generating Imprecise Data from Log-Normal Distribution,http://dx.doi.org/10.1080/15366367.2024.2329504,"Aslam, Muhammad",Measurement: Interdisciplinary Research and Perspectives (2024).,http://dx.doi.org/10.1080/15366367.2024.2329504,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,New Concepts on Quadripartitioned Neutrosophic Competition Graph with Application,http://dx.doi.org/10.1007/s40819-024-01686-9,"Hussain, S. Satham | Durga, N. | Aslam, Muhammad | Muhiuddin, G. | Ghorai, Ganesh","International Journal of Applied and Computational Mathematics, volume 10, issue 2 (2024).",http://dx.doi.org/10.1007/s40819-024-01686-9,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,The t-test of a Regression Coefficient for Imprecise Data,http://dx.doi.org/10.15672/hujms.1342344,"Aslam, Muhammad",Hacettepe Journal of Mathematics and Statistics (2024).,http://dx.doi.org/10.15672/hujms.1342344,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,Life truncated multiple dependent state plan for imprecise Weibull distributed data,http://dx.doi.org/10.1038/s41598-024-55694-2,"Rao, Gadde Srinivasa | Aslam, Muhammad | Josephat, Peter Kirigiti | Al-Husseini, Zainalabideen | Albassam, Mohammed","Scientific Reports, volume 14, issue 1 (2024).",http://dx.doi.org/10.1038/s41598-024-55694-2,1,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,"Birnbaum Saunders distribution for imprecise data: statistical properties, estimation methods, and real life applications",http://dx.doi.org/10.1038/s41598-024-57438-8,"Hassan, Marwa K. | Aslam, Muhammad","Scientific Reports, volume 14, issue 1 (2024).",http://dx.doi.org/10.1038/s41598-024-57438-8,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,Nonparametric mixed exponentially weighted moving average-moving average control chart,http://dx.doi.org/10.1038/s41598-024-57407-1,"Raza, Muhammad Ali | Amin, Azka | Aslam, Muhammad | Nawaz, Tahir | Irfan, Muhammad | Tariq, Farah","Scientific Reports, volume 14, issue 1 (2024).",http://dx.doi.org/10.1038/s41598-024-57407-1,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,UPDATING THE RESULTS OF DESIGNING OF A HYBRID EXPONENTIALLY WEIGHTED MOVING AVERAGE CONTROL CHART USING REPETITIVE SAMPLING,http://dx.doi.org/10.17654/0972361724026,"Arif, Osama H. | Aslam, Muhammad | Shafqat, Ambreen","Advances and Applications in Statistics, volume 91, issue 4, pages 489-494 (2024).",http://dx.doi.org/10.17654/0972361724026,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,1
Muhammad Aslam,A novel Bayesian framework to address unknown heteroscedasticity for the linear regression model,http://dx.doi.org/10.1080/03610918.2022.2044490,"Altaf, Saima | Rashid, Fareeha | Aslam, Muhammad | Riasat, Sadaf","Communications in Statistics - Simulation and Computation, volume 53, issue 3, pages 1298-1307 (2024).",http://dx.doi.org/10.1080/03610918.2022.2044490,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,2
Muhammad Aslam,Pareto Distribution-Based Shewhart Control Chart for Early Detection of Process Mean Shifts,http://dx.doi.org/10.1007/s44199-024-00071-1,"Saghir, Aamir | Rao, Gadde Srinivasa | Aslam, Muhammad | Janjua, Azhar Ali","Journal of Statistical Theory and Applications, volume 23, issue 1, pages 26-43 (2024).",http://dx.doi.org/10.1007/s44199-024-00071-1,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,2
Muhammad Aslam,VAGUE DATA ANALYSIS USING SEQUENTIAL TEST,http://dx.doi.org/10.17654/0972361724023,"Aslam, Muhammad | Saleem, Muhammad","Advances and Applications in Statistics, volume 91, issue 4, pages 439-450 (2024).",http://dx.doi.org/10.17654/0972361724023,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,2
Muhammad Aslam,Marshall-Olkin length biased exponential distribution for wind speed analysis alternative to Weibull distribution,http://dx.doi.org/10.1007/s40808-023-01832-0,"ul Haq, Muhammad Ahsan | Hashmi, Sharqa | Aslam, Muhammad","Modeling Earth Systems and Environment, volume 10, issue 1, pages 1095-1108 (2024).",http://dx.doi.org/10.1007/s40808-023-01832-0,0,https://scholargps.com/scholars/27977104345336/muhammad-aslam,2
