Scholar Name,Title,Publication Link,Authors,Journal/Conference,DOI,Scholar Profile
Guiwu Wei,Retraction Note: Some new dual hesitant fuzzy linguistic operators based on Archimedean t-norm and t-conorm,http://dx.doi.org/10.1007/s00521-024-10106-4,"Zhang, Nian | Yao, Zhigang | Zhou, Yufeng | Wei, Guiwu",Neural Computing and Applications (2024).,http://dx.doi.org/10.1007/s00521-024-10106-4,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,Some Novel Correlation Coefficients of Probabilistic Dual Hesitant Fuzzy Sets and their Application to Multi-Attribute Decision-Making,http://dx.doi.org/10.1007/s40815-024-01762-8,"Ning, Baoquan | Wei, Cun | Wei, Guiwu",International Journal of Fuzzy Systems (2024).,http://dx.doi.org/10.1007/s40815-024-01762-8,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,Site Selection of Wind Farms Based on Novel Probabilistic Dual Hesitant Fuzzy ExpTODIM and LogTODIM Methods,http://dx.doi.org/10.1007/s40815-024-01756-6,"Ning, Baoquan | Wei, Cun | Wei, Guiwu",International Journal of Fuzzy Systems (2024).,http://dx.doi.org/10.1007/s40815-024-01756-6,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,PDHL-MARCOS method based on cumulative prospect theory for MAGDM and its application in network security evaluation,http://dx.doi.org/10.3233/KES-230120,"Lei, Fan | Cai, Qiang | Wei, Guiwu | Wei, Cun","International Journal of Knowledge-based and Intelligent Engineering Systems, volume 28, issue 2, pages 359-387 (2024).",http://dx.doi.org/10.3233/KES-230120,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,Novel Aczel-Alsina operations-based probabilistic double hierarchy linguistic aggregation operators and their applications in Blockchain performance evaluation Blockchain,http://dx.doi.org/10.3233/JIFS-235215,"Lei, Fan | Cai, Qiang | Wei, Guiwu","Journal of Intelligent & Fuzzy Systems, volume 46, issue 4, pages 7989-8024 (2024).",http://dx.doi.org/10.3233/JIFS-235215,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,An integrated group decision-making framework for evaluating the urban fire emergency management capability based on PDHLWPHM and PDHLWPGHM operator,http://dx.doi.org/10.3233/JIFS-230485,"Lei, Fan | Cai, Qiang | Wang, Hongjun | Wei, Guiwu | Mo, Zhiwen","Journal of Intelligent & Fuzzy Systems, volume 46, issue 2, pages 3713-3760 (2024).",http://dx.doi.org/10.3233/JIFS-230485,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,MABAC framework for logarithmic bipolar fuzzy multiple attribute group decision-making for supplier selection,http://dx.doi.org/10.1007/s40747-023-01108-1,"Jana, Chiranjibe | Garg, Harish | Pal, Madhumangal | Sarkar, Biswajit | Wei, Guiwu","Complex & Intelligent Systems, volume 10, issue 1, pages 273-288 (2024).",http://dx.doi.org/10.1007/s40747-023-01108-1,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,Grey relational analysis method for multi-attribute group decision making based on cumulative prospect theory under single-value neutrosophic sets,http://dx.doi.org/10.3233/JIFS-231630,"Li, Yue | Cai, Qiang | Wei, Guiwu","Journal of Intelligent & Fuzzy Systems, volume 46, issue 1, pages 805-819 (2024).",http://dx.doi.org/10.3233/JIFS-231630,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,An Extended EDAS Approach Based on Cumulative Prospect Theory for Multiple Attributes Group Decision Making with Interval-Valued Intuitionistic Fuzzy Information,http://dx.doi.org/10.15388/24-INFOR547,"Wang, Jing | Cai, Qiang | Wei, Guiwu | Liao, Ningna",Informatica (2024).,http://dx.doi.org/10.15388/24-INFOR547,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,CODAS method for Pythagorean 2-tuple linguistic multiple attribute group decision making,http://dx.doi.org/10.1109/ACCESS.2019.2917588,"He, Tingting | Wei, Guiwu | Wei, Cun | Wang, Jie",IEEE Access (2024).,http://dx.doi.org/10.1109/ACCESS.2019.2917588,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,An extended hybrid decision-making method under Fermatean hesitant fuzzy set based on regret theory,http://dx.doi.org/10.1007/s12652-023-04710-w,"Zhang, Nian | Zhou, Yifan | Liu, Jin | Wei, Guiwu","Journal of Ambient Intelligence and Humanized Computing, volume 14, issue 12, pages 16961-16971 (2023).",http://dx.doi.org/10.1007/s12652-023-04710-w,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,Green Supplier Selection Using QUALIFLEX Method Based on Cumulative Prospective Theory Under Probabilistic Hesitant Fuzzy Circumstance,http://dx.doi.org/10.1007/s40815-023-01621-y,"Wang, Zeyuan | Cai, Qiang | Wei, Guiwu | Liao, Ningna | Deng, Dexue","International Journal of Fuzzy Systems, volume 25, issue 8, pages 3293-3304 (2023).",http://dx.doi.org/10.1007/s40815-023-01621-y,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,VIKOR method for Pythagorean hesitant fuzzy multi-attribute decision-making based on regret theory,http://dx.doi.org/10.1016/j.engappai.2023.106857,"Zhang, Nian | Zhou, Yifan | Liu, Jin | Wei, Guiwu","Engineering Applications of Artificial Intelligence, volume 126 (2023).",http://dx.doi.org/10.1016/j.engappai.2023.106857,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,Modified TODIM method based on cumulative prospect theory with Type-2 neutrosophic number for green supplier selection,http://dx.doi.org/10.1016/j.engappai.2023.106843,"Wang, Zeyuan | Cai, Qiang | Wei, Guiwu","Engineering Applications of Artificial Intelligence, volume 126 (2023).",http://dx.doi.org/10.1016/j.engappai.2023.106843,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,PT-TOPSIS methods for multi-attribute group decision making under single-valued neutrosophic sets,http://dx.doi.org/10.3233/KES-230039,"Li, Yue | Cai, Qiang | Wei, Guiwu","International Journal of Knowledge-based and Intelligent Engineering Systems, volume 27, issue 2, pages 149-166 (2023).",http://dx.doi.org/10.3233/KES-230039,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,An integrated method for multi-attribute group decision-making based on the linguistic Z-number and MSM operators,http://dx.doi.org/10.3233/KES-221592,"Chen, Bo | Cai, Qiang | Wei, Guiwu | Mo, Zhiwen","International Journal of Knowledge-based and Intelligent Engineering Systems, volume 27, issue 2, pages 167-191 (2023).",http://dx.doi.org/10.3233/KES-221592,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,Probabilistic dual hesitant fuzzy MAGDM method based on generalized extended power average operator and its application to online teaching platform supplier selection,http://dx.doi.org/10.1016/j.engappai.2023.106667,"Ning, Baoquan | Wang, Hongjun | Wei, Guiwu | Wei, Cun","Engineering Applications of Artificial Intelligence, volume 125 (2023).",http://dx.doi.org/10.1016/j.engappai.2023.106667,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,AN INTEGRATED DECISION SUPPORT SYSTEM FOR STOCK INVESTMENT BASED ON SPHERICAL FUZZY PT-EDAS METHOD AND MEREC,http://dx.doi.org/10.3846/tede.2023.19123,"Zhang, Huiyuan | Wang, Hongjun | Wei, Guiwu | Chen, Xudong","Technological and Economic Development of Economy, volume 29, issue 4, pages 1353-1381 (2023).",http://dx.doi.org/10.3846/tede.2023.19123,https://scholargps.com/scholars/78021622765809/guiwu-wei
Guiwu Wei,Novel Aczel-Alsina operations-based linguistic Z-number aggregation operators and their applications in multi-attribute group decision-making process,http://dx.doi.org/10.1016/j.engappai.2023.106541,"Chen, Bo | Cai, Qiang | Wei, Guiwu | Mo, Zhiwen","Engineering Applications of Artificial Intelligence, volume 124 (2023).",http://dx.doi.org/10.1016/j.engappai.2023.106541,https://scholargps.com/scholars/78021622765809/guiwu-wei
